iter	Passed	Remaining
279	106530	273934
280	106918	273575
281	107298	273192
282	107656	272755
283	108031	272361
284	108416	271992
285	108801	271622
286	109184	271249
287	109565	270870
288	109953	270507
289	110338	270138
290	110726	269777
291	111112	269410
292	111505	269060
293	111890	268690
294	112274	268316
295	112660	267949
296	113040	267567
297	113412	267167
298	113791	266781
299	114171	266399
300	114547	266009
301	114937	265649
302	115321	265277
303	115705	264904
304	116091	264535
305	116469	264148
306	116842	263752
307	117220	263366
308	117596	262974
309	117978	262597
310	118370	262241
311	118752	261863
312	119129	261475
313	119519	261115
314	119901	260739
315	120303	260404
316	120704	260067
317	121091	259699
318	121490	259356
319	121894	259025
320	122288	258673
321	122680	258315
322	123063	257938
323	123477	257626
324	123873	257275
325	124262	256911
326	124680	256606
327	125122	256347
328	125578	256119
329	126030	255879
330	126477	255630
331	126859	255246
332	127241	254864
333	127629	254494
334	128042	254174
335	128419	253782
336	128811	253418
337	129191	253031
338	129572	252646
339	129956	252268
340	130357	251923
341	130736	251534
342	131116	251147
343	131511	250790
344	131893	250406
345	132269	250012
346	132651	249628
347	133026	249234
348	133398	248831
349	133784	248457
350	134166	248074
351	134550	247695
352	134934	247316
353	135318	246937
354	135705	246563
355	136091	246188
356	136467	245795
357	136844	245403
358	137228	245023
359	137610	244641
360	138006	244283
361	138388	243901
362	138770	243516
363	139151	243133
364	139521	242729
365	139899	242340
366	140275	241946
367	140637	241529
368	141008	241127
369	141402	240765
370	141778	240374
371	142150	239974
372	142525	239579
373	142895	239177
374	143270	238783
375	143661	238416
376	144046	238040
377	144423	237648
378	144801	237260
379	145181	236875
380	145568	236500
381	145947	236114
382	146339	235747
383	146726	235373
384	147109	234993
385	147491	234610
386	147867	234219
387	148242	233825
388	148619	233435
389	149002	233055
390	149410	232713
391	149795	232336
392	150184	231965
393	150563	231577
394	150944	231194
395	151335	230824
396	151745	230484
397	152119	230090
398	152521	229737
399	152906	229359
400	153276	228959
401	153654	228570
402	154025	228171
403	154394	227770
404	154770	227378
405	155151	226994
406	155520	226593
407	155885	226187
408	156267	225804
409	156629	225393
410	157023	225028
411	157390	224625
412	157774	224246
413	158154	223861
414	158536	223479
415	158927	223110
416	159331	222758
417	159737	222410
418	160144	222062
419	160525	221678
420	160922	221316
421	161310	220941
422	161695	220563
423	162083	220189
424	162473	219817
425	162861	219441
426	163247	219064
427	163625	218677
428	164015	218304
429	164404	217931
430	164788	217551
431	165176	217176
432	165589	216834
433	165966	216445
434	166363	216081
435	166748	215702
436	167138	215329
437	167531	214960
438	167913	214577
439	168295	214194
440	168686	213823
441	169067	213438
442	169451	213057
443	169837	212679
444	170213	212288
445	170601	211912
446	170967	211510
447	171341	211117
448	171723	210734
449	172098	210342
450	172489	209971
451	172873	209590
452	173255	209206
453	173652	208842
454	174025	208448
455	174401	208057
456	174779	207670
457	175158	207283
458	175531	206890
459	175900	206491
460	176274	206099
461	176646	205704
462	177025	205318
463	177391	204917
464	177764	204524
465	178131	204124
466	178509	203738
467	178883	203345
468	179245	202940
469	179613	202542
470	179996	202161
471	180358	201757
472	180736	201369
473	181102	200969
474	181470	200572
475	181845	200182
476	182208	199780
477	182583	199389
478	182959	199002
479	183328	198605
480	183704	198217
481	184072	197821
482	184439	197422
483	184811	197030
484	185183	196638
485	185554	196244
486	185923	195849
487	186301	195463
488	186655	195052
489	187021	194654
490	187404	194274
491	187782	193889
492	188157	193501
493	188531	193110
494	188907	192724
495	189282	192335
496	189650	191940
497	190067	191593
498	190439	191202
499	190821	190821
500	191211	190448
501	191602	190075
502	191982	189692
503	192372	189319
504	192751	188934
505	193136	188556
506	193512	188168
507	193884	187778
508	194268	187398
509	194633	187000
510	195011	186615
511	195389	186230
512	195764	185842
513	196157	185472
514	196551	185101
515	196935	184722
516	197331	184354
517	197713	183972
518	198092	183588
519	198477	183209
520	198858	182827
521	199242	182448
522	199616	182059
523	200000	181679
524	200385	181300
525	200775	180927
526	201181	180566
527	201561	180183
528	201933	179793
529	202319	179415
530	202713	179044
531	203111	178676
532	203504	178305
533	203889	177925
534	204265	177539
535	204649	177159
536	205029	176775
537	205421	176403
538	205815	176031
539	206198	175650
540	206578	175267
541	206961	174885
542	207347	174508
543	207727	174124
544	208107	173741
545	208498	173366
546	208889	172992
547	209274	172613
548	209649	172225
549	210023	171837
550	210394	171446
551	210768	171058
552	211151	170677
553	211531	170294
554	211911	169910
555	212293	169529
556	212682	169153
557	213062	168769
558	213446	168389
559	213848	168023
560	214240	167649
561	214611	167259
562	214984	166871
563	215365	166488
564	215733	166096
565	216119	165717
566	216508	165340
567	216893	164961
568	217269	164574
569	217659	164199
570	218046	163821
571	218422	163434
572	218800	163049
573	219180	162667
574	219578	162296
575	219949	161907
576	220321	161518
577	220682	161120
578	221056	160734
579	221447	160358
580	221826	159974
581	222195	159584
582	222575	159200
583	222956	158818
584	223331	158431
585	223712	158049
586	224100	157672
587	224474	157284
588	224849	156898
589	225215	156505
590	225593	156121
591	225967	155734
592	226345	155350
593	226723	154965
594	227103	154582
595	227474	154194
596	227843	153803
597	228214	153415
598	228584	153025
599	228952	152635
600	229324	152247
601	229694	151857
602	230063	151467
603	230431	151077
604	230801	150688
605	231183	150307
606	231544	149912
607	231918	149526
608	232290	149139
609	232665	148753
610	233032	148362
611	233406	147976
612	233803	147604
613	234195	147230
614	234576	146848
615	234956	146466
616	235332	146081
617	235711	145698
618	236105	145324
619	236486	144943
620	236858	144556
621	237232	144170
622	237603	143782
623	237976	143396
624	238339	143003
625	238704	142612
626	239069	142221
627	239450	141840
628	239820	141452
629	240211	141076
630	240580	140688
631	240946	140297
632	241320	139912
633	241688	139523
634	242054	139133
635	242416	138741
636	242785	138353
637	243150	137962
638	243517	137573
639	243889	137187
640	244259	136800
641	244618	136407
642	244990	136021
643	245362	135635
644	245729	135246
645	246103	134861
646	246479	134477
647	246852	134092
648	247201	133694
649	247537	133289
650	247885	132890
651	248252	132503
652	248578	132092
653	248930	131697
654	249288	131304
655	249617	130896
656	249937	130484
657	250258	130073
658	250573	129659
659	250894	129248
660	251223	128842
661	251586	128453
662	251915	128047
663	252264	127651
664	252648	127273
665	252966	126863
666	253280	126450
667	253599	126040
668	253921	125632
669	254247	125226
670	254566	124817
671	254891	124411
672	255211	124003
673	255527	123593
674	255846	123185
675	256168	122779
676	256485	122370
677	256804	121963
678	257124	121556
679	257448	121152
680	257768	120746
681	258100	120346
682	258433	119946
683	258771	119549
684	259102	119149
685	259439	118752
686	259788	118360
687	260151	117975
688	260488	117578
689	260814	117177
690	261141	116776
691	261470	116377
692	261800	115977
693	262154	115589
694	262478	115188
695	262800	114786
696	263135	114390
697	263507	114010
698	263852	113618
699	264176	113218
700	264514	112824
701	264844	112427
702	265169	112027
703	265501	111631
704	265844	111239
705	266165	110839
706	266504	110446
707	266836	110051
708	267162	109653
709	267496	109259
710	267819	108860
711	268139	108460
712	268460	108062
713	268780	107662
714	269105	107265
715	269423	106866
716	269736	106465
717	270059	106067
718	270383	105671
719	270702	105273
720	271019	104874
721	271348	104480
722	271664	104081
723	271979	103682
724	272301	103286
725	272629	102893
726	272951	102497
727	273285	102106
728	273624	101717
729	273962	101328
730	274282	100933
731	274600	100536
732	274959	100155
733	275359	99789
734	275694	99400
735	276050	99017
736	276388	98629
737	276717	98238
738	277033	97842
739	277400	97465
740	277734	97076
741	278059	96683
742	278378	96289
743	278711	95900
744	279028	95506
745	279187	95058
746	279520	94670
747	279865	94286
748	280226	93907
749	280555	93518
750	280886	93130
751	281232	92746
752	281570	92361
753	281907	91974
754	282231	91585
755	282595	91208
756	282921	90818
757	283238	90427
758	283601	90050
759	283967	89673
760	284343	89300
761	284780	88947
762	285253	88604
763	285667	88242
764	286152	87903
765	286589	87548
766	286985	87180
767	287329	86797
768	287660	86410
769	288001	86026
770	288342	85642
771	288660	85252
772	288984	84863
773	289294	84470
774	289609	84080
775	289950	83697
776	290293	83314
777	290641	82933
778	290997	82555
779	291347	82174
780	291655	81782
781	291963	81391
782	292274	81000
783	292630	80622
784	292989	80245
785	293364	79872
786	293729	79497
787	294059	79112
788	294386	78726
789	294715	78342
790	295046	77957
791	295380	77574
792	295709	77190
793	296036	76805
794	296369	76422
795	296721	76044
796	297067	75664
797	297438	75291
798	297782	74911
799	298115	74528
800	298443	74145
801	298787	73765
802	299119	73383
803	299493	73010
804	299867	72638
805	300214	72259
806	300561	71881
807	300901	71501
808	301246	71122
809	301616	70749
810	302007	70381
811	302355	70003
812	302716	69628
813	303087	69255
814	303469	68885
815	303836	68512
816	304179	68133
817	304529	67755
818	304865	67375
819	305202	66995
820	305554	66619
821	305917	66244
822	306299	65874
823	306681	65504
824	307047	65131
825	307427	64760
826	307776	64383
827	308116	64004
828	308485	63632
829	308864	63261
830	309237	62889
831	309581	62511
832	309944	62137
833	310273	61757
834	310618	61379
835	310959	61001
836	311298	60623
837	311645	60246
838	311977	59866
839	312320	59489
840	312694	59118
841	313034	58740
842	313414	58370
843	313773	57995
844	314106	57617
845	314469	57243
846	314826	56869
847	315178	56494
848	315534	56119
849	315905	55748
850	316280	55377
851	316685	55011
852	317103	54647
853	317509	54281
854	317892	53911
855	318260	53539
856	318661	53172
857	319087	52809
858	319483	52441
859	319891	52075
860	320288	51707
861	320659	51335
862	321018	50961
863	321378	50587
864	321742	50214
865	322087	49837
866	322439	49463
867	322790	49087
868	323138	48712
869	323503	48339
870	323860	47965
871	324217	47591
872	324573	47217
873	324932	46843
874	325291	46470
875	325653	46097
876	326016	45724
877	326372	45350
878	326725	44975
879	327074	44601
880	327430	44227
881	327792	43854
882	328141	43479
883	328517	43108
884	328869	42734
885	329228	42361
886	329600	41989
887	329955	41615
888	330305	41241
889	330660	40868
890	331009	40493
891	331358	40119
892	331722	39747
893	332082	39374
894	332434	39000
895	332803	38628
896	333151	38254
897	333499	37880
898	333856	37507
899	334216	37135
900	334573	36762
901	334931	36389
902	335282	36015
903	335634	35642
904	336005	35271
905	336362	34898
906	336722	34526
907	337080	34153
908	337431	33780
909	337896	33418
910	338328	33052
911	338700	32681
912	339059	32309
913	339419	31936
914	339777	31564
915	340128	31190
916	340487	30818
917	340841	30445
918	341187	30072
919	341548	29699
920	341919	29328
921	342267	28955
922	342631	28583
923	342989	28211
924	343348	27839
925	343699	27466
926	344053	27093
927	344408	26721
928	344774	26349
929	345130	25977
930	345491	25605
931	345854	25234
932	346205	24861
933	346564	24489
934	346924	24117
935	347283	23745
936	347631	23373
937	347995	23001
938	348355	22630
939	348716	22258
940	349077	21886
941	349432	21514
942	349790	21143
943	350148	20771
944	350506	20399
945	350857	20027
946	351203	19655
947	351568	19284
948	351922	18912
949	352281	18541
950	352639	18169
951	352996	17798
952	353350	17426
953	353713	17055
954	354061	16683
955	354427	16312
956	354783	15941
957	355133	15569
958	355482	15197
959	355850	14827
960	356201	14455
961	356562	14084
962	356917	13713
963	357279	13342
964	357641	12971
965	357986	12599
966	358349	12229
967	358705	11858
968	359062	11487
969	359411	11115
970	359765	10744
971	360120	10373
972	360484	10003
973	360853	9632
974	361201	9261
975	361560	8890
976	361917	8520
977	362273	8149
978	362628	7778
979	362990	7407
980	363344	7037
981	363701	6666
982	364058	6296
983	364419	5925
984	364781	5555
985	365141	5184
986	365489	4813
987	365841	4443
988	366192	4072
989	366555	3702
990	366911	3332
991	367269	2961
992	367640	2591
993	368004	2221
994	368358	1851
995	368709	1480
996	369069	1110
997	369423	740
998	369785	370
999	370141	0
