iter	RMSE
173	5.335800326
174	5.330796169
175	5.325676668
176	5.320635049
177	5.313192023
178	5.310092984
179	5.306811427
180	5.30389358
181	5.299230922
182	5.292108941
183	5.282631395
184	5.277724737
185	5.273963764
186	5.269503887
187	5.264976875
188	5.260418868
189	5.252436258
190	5.247428887
191	5.241909267
192	5.235383245
193	5.232044501
194	5.22736168
195	5.223716407
196	5.222465806
197	5.218055692
198	5.21209679
199	5.201819337
200	5.196529346
201	5.177464784
202	5.169087342
203	5.160735863
204	5.157994026
205	5.157037519
206	5.154298543
207	5.149101624
208	5.145511591
209	5.13413889
210	5.13023361
211	5.12570468
212	5.12195791
213	5.117812001
214	5.115643839
215	5.110138758
216	5.104333555
217	5.09805028
218	5.089793744
219	5.085726109
220	5.080917143
221	5.078427281
222	5.070003162
223	5.068135346
224	5.066416623
225	5.064976979
226	5.061088869
227	5.056489998
228	5.052966423
229	5.050937544
230	5.04852837
231	5.04456411
232	5.041023788
233	5.034671686
234	5.016511367
235	5.014352308
236	5.011397087
237	5.009385486
238	5.001982932
239	4.995810395
240	4.991041666
241	4.982682786
242	4.977775936
243	4.974878401
244	4.971473092
245	4.968746727
246	4.964693626
247	4.962348726
248	4.95976731
249	4.955381148
250	4.95120287
251	4.949825923
252	4.946933371
253	4.944241364
254	4.941324756
255	4.937954769
256	4.931802528
257	4.929497359
258	4.926717601
259	4.924996144
260	4.924478364
261	4.922859984
262	4.920763329
263	4.918448638
264	4.9157938
265	4.913813526
266	4.90959546
267	4.907430856
268	4.903740083
269	4.901039667
270	4.899864637
271	4.898973898
272	4.894438632
273	4.893141138
274	4.891156325
275	4.881195694
276	4.877187005
277	4.874946008
278	4.873681112
279	4.858692811
280	4.855780171
281	4.852546721
282	4.850490619
283	4.850093695
284	4.847076313
285	4.843288889
286	4.841337075
287	4.840113277
288	4.8391567
289	4.834769165
290	4.831641248
291	4.827242042
292	4.825778962
293	4.824558855
294	4.822731538
295	4.820043895
296	4.81810233
297	4.817028416
298	4.811743554
299	4.809693474
300	4.805059613
301	4.801497253
302	4.798177207
303	4.786940673
304	4.785203541
305	4.783731343
306	4.781102873
307	4.78014659
308	4.778996542
309	4.772473251
310	4.770847543
311	4.76951988
312	4.767312199
313	4.765858802
314	4.765025825
315	4.763962464
316	4.760195769
317	4.758826449
318	4.754535192
319	4.751619828
320	4.749915767
321	4.748921427
322	4.747042308
323	4.745946927
324	4.744816845
325	4.742246874
326	4.741784951
327	4.741090989
328	4.739206703
329	4.737702568
330	4.736420405
331	4.735877487
332	4.733583835
333	4.732391451
334	4.730093317
335	4.728969542
336	4.727932407
337	4.724595501
338	4.723106162
339	4.718822012
340	4.717266535
341	4.715613251
342	4.710110993
343	4.708397791
344	4.705980437
345	4.704138976
346	4.702793929
347	4.692586776
348	4.690850201
349	4.688471845
350	4.687983324
351	4.683788393
352	4.678816274
353	4.674675169
354	4.673438646
355	4.668797121
356	4.664613106
357	4.660084527
358	4.658813299
359	4.657192414
360	4.655768972
361	4.65253263
362	4.651874843
363	4.650407769
364	4.640500233
365	4.638017043
366	4.637482055
367	4.637069948
368	4.63278511
369	4.629090092
370	4.628339917
371	4.626676287
372	4.625235847
373	4.62338822
374	4.622825626
375	4.622626259
376	4.618232554
377	4.616974213
378	4.609589616
379	4.608940833
380	4.608129351
381	4.599281797
382	4.598784014
383	4.598090653
384	4.596141318
385	4.59138465
386	4.590975085
387	4.587389933
388	4.585668776
389	4.583558197
390	4.581857864
391	4.579764316
392	4.57864702
393	4.574896238
394	4.573600537
395	4.572056988
396	4.563688851
397	4.561060847
398	4.560530272
399	4.558380648
400	4.555289426
401	4.546774669
402	4.544188997
403	4.542821994
404	4.542157629
405	4.541178953
406	4.539762399
407	4.538002891
408	4.531134938
409	4.530276421
410	4.528985204
411	4.527140456
412	4.524982461
413	4.524517398
414	4.519819993
415	4.51736198
416	4.51387844
417	4.51290107
418	4.510836647
419	4.509710749
420	4.508590263
421	4.507547827
422	4.503213003
423	4.50096817
424	4.500110532
425	4.497896648
426	4.495646128
427	4.494485717
428	4.493899611
429	4.492591756
430	4.491787555
431	4.489671724
432	4.486427162
433	4.485571262
434	4.482814166
435	4.482028678
436	4.480761024
437	4.478599915
438	4.477740613
439	4.471439973
440	4.468030065
441	4.465140889
442	4.463600433
443	4.460173597
444	4.458133127
445	4.456967681
446	4.454079362
447	4.451885702
448	4.448695161
449	4.4480033
450	4.44744792
451	4.44506371
452	4.444157352
453	4.443271559
454	4.442964362
455	4.439650303
456	4.438958102
457	4.438574277
458	4.438008247
459	4.437240141
460	4.433783158
461	4.433469268
462	4.432733188
463	4.431881096
464	4.431588756
465	4.429841872
466	4.424295986
467	4.42391094
468	4.422649417
469	4.421615923
470	4.419393621
471	4.418799967
472	4.417467007
473	4.413449442
474	4.412660385
475	4.412200675
476	4.410988491
477	4.406427215
478	4.40508301
479	4.404783178
480	4.403121128
481	4.40275065
482	4.397999849
483	4.396269354
484	4.391499013
485	4.388084186
486	4.386694418
487	4.385841658
488	4.384947345
489	4.383586019
490	4.383397321
491	4.383047264
492	4.38173278
493	4.3793374
494	4.377227952
495	4.376172353
496	4.375432658
497	4.372757698
498	4.37175744
499	4.371203479
500	4.370877743
501	4.369389019
502	4.369159317
503	4.367003855
504	4.36653766
505	4.364781863
506	4.364096063
507	4.36372394
508	4.357760918
509	4.355002438
510	4.348612805
511	4.348044103
512	4.347730467
513	4.347186578
514	4.346260835
515	4.345488726
516	4.344901412
517	4.34400251
518	4.343195005
519	4.337512573
520	4.335342191
521	4.334293669
522	4.333868209
523	4.325398883
524	4.324994424
525	4.32455239
526	4.323701944
527	4.323545278
528	4.321970951
529	4.321379033
530	4.320328257
531	4.31916386
532	4.318295256
533	4.317551767
534	4.316850027
535	4.313295651
536	4.312374827
537	4.312196581
538	4.30778671
539	4.305775486
540	4.302871278
541	4.302600801
542	4.302202656
543	4.301409935
544	4.298451133
545	4.297184124
546	4.296387628
547	4.291709055
548	4.291112021
549	4.289942582
550	4.288407712
551	4.288007816
552	4.285043092
553	4.283774771
554	4.282386718
555	4.282186574
556	4.277287834
557	4.27475405
558	4.274083872
559	4.273789766
560	4.268606036
561	4.267092859
562	4.263962219
563	4.261445455
564	4.260483228
565	4.259113348
566	4.256671913
567	4.253824463
568	4.248351812
569	4.247700745
570	4.247478984
571	4.245339018
572	4.243824229
573	4.242133958
574	4.241287135
